"courseStu","courseStr","stuUDID","McountN","McountA","McountM","McountE"
"s6..........:86","s6..........",86,4,21,4,0
"s.6.........:86","s.6.........",86,12,15,0,0
"s..6........:86","s..6........",86,6,10,10,1
"s...6.......:86","s...6.......",86,0,1,1,0
"s....6......:86","s....6......",86,0,5,6,2
"s.....6.....:86","s.....6.....",86,0,0,2,0
"s6..........:87","s6..........",87,2,11,14,5
"s.6.........:87","s.6.........",87,1,21,7,2
"s..6........:87","s..6........",87,0,8,22,1
"s....6......:87","s....6......",87,0,2,7,4
"s.....6.....:87","s.....6.....",87,0,0,2,0
"s6..........:88","s6..........",88,1,24,5,0
"s.6.........:88","s.6.........",88,1,23,2,0
"s..6........:88","s..6........",88,3,14,11,1
"s...6.......:88","s...6.......",88,0,2,0,0
"s....6......:88","s....6......",88,0,3,6,1
"s.....6.....:88","s.....6.....",88,0,0,2,0
"s6..........:89","s6..........",89,4,22,5,0
"s.6.........:89","s.6.........",89,1,22,0,0
"s..6........:89","s..6........",89,2,17,10,0
"s...6.......:89","s...6.......",89,0,0,2,0
"s....6......:89","s....6......",89,0,6,5,2
"s.....6.....:89","s.....6.....",89,0,0,2,0
"s6..........:90","s6..........",90,4,26,1,0
"s.6.........:90","s.6.........",90,3,22,3,0
"s..6........:90","s..6........",90,5,13,9,0
"s...6.......:90","s...6.......",90,0,1,1,0
"s....6......:90","s....6......",90,0,8,5,0
"s.....6.....:90","s.....6.....",90,0,0,2,0
"s6..........:91","s6..........",91,3,25,2,0
"s.6.........:91","s.6.........",91,1,15,3,1
"s..6........:91","s..6........",91,3,12,14,1
"s....6......:91","s....6......",91,0,5,6,1
"s.....6.....:91","s.....6.....",91,0,0,2,0
"s6..........:92","s6..........",92,3,24,1,0
"s.6.........:92","s.6.........",92,5,19,0,0
"s..6........:92","s..6........",92,3,9,14,0
"s...6.......:92","s...6.......",92,0,1,1,0
"s....6......:92","s....6......",92,0,10,2,1
"s.....6.....:92","s.....6.....",92,0,0,2,0
"s6..........:93","s6..........",93,9,20,0,1
"s.6.........:93","s.6.........",93,6,13,0,0
"s..6........:93","s..6........",93,7,17,5,0
"s...6.......:93","s...6.......",93,0,2,0,0
"s....6......:93","s....6......",93,1,7,3,0
"s.....6.....:93","s.....6.....",93,0,0,2,0
"s6..........:94","s6..........",94,3,20,4,0
"s.6.........:94","s.6.........",94,0,28,3,0
"s..6........:94","s..6........",94,2,15,14,0
"s...6.......:94","s...6.......",94,0,0,2,0
"s....6......:94","s....6......",94,0,3,10,0
"s.....6.....:94","s.....6.....",94,0,0,2,0
"s6..........:95","s6..........",95,1,11,13,4
"s.6.........:95","s.6.........",95,1,19,1,1
"s..6........:95","s..6........",95,1,9,20,0
"s...6.......:95","s...6.......",95,0,0,2,0
"s....6......:95","s....6......",95,0,3,6,2
"s.....6.....:95","s.....6.....",95,0,0,2,0
"s6..........:96","s6..........",96,6,23,0,0
"s.6.........:96","s.6.........",96,3,14,0,0
"s..6........:96","s..6........",96,15,6,5,0
"s...6.......:96","s...6.......",96,0,2,0,0
"s....6......:96","s....6......",96,1,8,4,0
"s.....6.....:96","s.....6.....",96,0,0,2,0
"s6..........:97","s6..........",97,3,17,7,2
"s.6.........:97","s.6.........",97,1,24,0,1
"s..6........:97","s..6........",97,2,10,17,1
"s...6.......:97","s...6.......",97,0,0,2,0
"s....6......:97","s....6......",97,0,6,4,3
"s.....6.....:97","s.....6.....",97,0,0,2,0
"s6..........:98","s6..........",98,0,0,0,0
"s.6.........:98","s.6.........",98,0,0,0,0
"s..6........:98","s..6........",98,11,0,0,0
"s....6......:98","s....6......",98,0,0,0,0
"s.....6.....:98","s.....6.....",98,0,0,2,0
"s6..........:101","s6..........",101,4,22,2,0
"s.6.........:101","s.6.........",101,2,20,0,1
"s..6........:101","s..6........",101,2,9,18,0
"s...6.......:101","s...6.......",101,0,0,2,0
"s....6......:101","s....6......",101,0,2,9,2
"s.....6.....:101","s.....6.....",101,0,0,2,0
"s6..........:102","s6..........",102,3,14,14,1
"s.6.........:102","s.6.........",102,1,18,2,1
"s..6........:102","s..6........",102,2,12,16,0
"s...6.......:102","s...6.......",102,0,0,1,1
"s....6......:102","s....6......",102,0,4,7,2
"s.....6.....:102","s.....6.....",102,0,0,2,0
"s6..........:103","s6..........",103,3,27,0,0
"s.6.........:103","s.6.........",103,6,21,0,0
"s..6........:103","s..6........",103,6,15,6,0
"s...6.......:103","s...6.......",103,0,1,1,0
"s....6......:103","s....6......",103,0,9,3,1
"s.....6.....:103","s.....6.....",103,0,0,2,0
"s6..........:104","s6..........",104,4,25,1,0
"s.6.........:104","s.6.........",104,7,23,1,0
"s..6........:104","s..6........",104,2,15,13,0
"s...6.......:104","s...6.......",104,0,1,1,0
"s....6......:104","s....6......",104,0,4,7,0
"s.....6.....:104","s.....6.....",104,0,0,2,0
"s6..........:105","s6..........",105,5,25,1,0
"s.6.........:105","s.6.........",105,0,17,0,1
"s..6........:105","s..6........",105,6,14,7,0
"s...6.......:105","s...6.......",105,0,0,2,0
"s....6......:105","s....6......",105,0,9,3,1
"s.....6.....:105","s.....6.....",105,0,0,2,0
"s6..........:106","s6..........",106,4,22,6,0
"s.6.........:106","s.6.........",106,0,17,0,1
"s..6........:106","s..6........",106,14,6,10,0
"s....6......:106","s....6......",106,0,5,8,0
"s.....6.....:106","s.....6.....",106,0,0,2,0
"s6..........:107","s6..........",107,6,21,1,0
"s.6.........:107","s.6.........",107,9,18,0,0
"s..6........:107","s..6........",107,9,14,4,0
"s...6.......:107","s...6.......",107,0,1,1,0
"s....6......:107","s....6......",107,1,10,2,0
"s.....6.....:107","s.....6.....",107,0,0,2,0
"s7..........:108","s7..........",108,0,9,20,0
"s.7.........:108","s.7.........",108,2,11,6,0
"s..7........:108","s..7........",108,16,1,2,0
"s....7......:108","s....7......",108,1,3,8,3
"s......7....:108","s......7....",108,0,0,0,0
"s..........7:108","s..........7",108,0,2,4,0
"s7..........:109","s7..........",109,0,5,24,0
"s.7.........:109","s.7.........",109,0,3,12,4
"s..7........:109","s..7........",109,17,0,3,1
"s....7......:109","s....7......",109,0,3,7,5
"s......7....:109","s......7....",109,0,0,0,0
"s..........7:109","s..........7",109,1,5,0,0
"s7..........:110","s7..........",110,0,1,20,8
"s.7.........:110","s.7.........",110,0,3,15,2
"s..7........:110","s..7........",110,16,1,3,1
"s....7......:110","s....7......",110,0,3,7,5
"s......7....:110","s......7....",110,0,0,0,0
"s..........7:110","s..........7",110,1,4,1,0
"s7..........:111","s7..........",111,0,4,23,2
"s.7.........:111","s.7.........",111,0,6,12,0
"s..7........:111","s..7........",111,15,2,1,1
"s....7......:111","s....7......",111,0,3,8,4
"s......7....:111","s......7....",111,0,0,0,0
"s..........7:111","s..........7",111,1,5,0,0
"s7..........:112","s7..........",112,0,13,16,0
"s.7.........:112","s.7.........",112,0,5,14,0
